rank,ticker,name,market_cap_krw,market_cap_h,sector,market
267,323280.KQ,태성,1192500000000,1.19조,기계·장비,KOSDAQ
268,012630.KS,HDC,1192400000000,1.19조,금융,KOSPI
269,218410.KQ,RFHIC,1164000000000,1.16조,전기·전자,KOSDAQ
270,078600.KQ,대주전자재료,1162100000000,1.16조,전기·전자,KOSDAQ
271,043260.KQ,성호전자,1142800000000,1.14조,전기·전자,KOSDAQ
272,003380.KQ,하림지주,1141300000000,1.14조,금융,KOSDAQ
273,004000.KS,롯데정밀화학,1133900000000,1.13조,화학,KOSPI
274,183300.KQ,코미코,1117700000000,1.12조,기계·장비,KOSDAQ
275,017960.KS,한국카본,1103300000000,1.10조,금속,KOSPI
276,007810.KS,코리아써키트,1103200000000,1.10조,전기·전자,KOSPI
277,361610.KS,SK아이이테크놀로지,1102500000000,1.10조,전기·전자,KOSPI
278,030610.KS,교보증권,1098600000000,1.10조,증권,KOSPI
279,166090.KQ,하나머티리얼즈,1085800000000,1.09조,전기·전자,KOSDAQ
280,005070.KS,코스모신소재,1081100000000,1.08조,화학,KOSPI
281,093370.KS,후성,1077900000000,1.08조,화학,KOSPI
282,475830.KQ,오름테라퓨틱,1077300000000,1.08조,제약,KOSDAQ
283,000080.KS,하이트진로,1071600000000,1.07조,음식료·담배,KOSPI
284,330590.KS,롯데리츠,1047500000000,1.05조,리츠,KOSPI
285,195940.KQ,HK이노엔,1046800000000,1.05조,제약,KOSDAQ
286,491000.KQ,리브스메드,1039300000000,1.04조,의료·정밀기기,KOSDAQ
287,006340.KS,대원전선,1037400000000,1.04조,전기·전자,KOSPI
288,003570.KS,SNT다이내믹스,1029200000000,1.03조,운송장비·부품,KOSPI
289,300720.KS,한일시멘트,1026700000000,1.03조,비금속,KOSPI
290,127120.KQ,제이에스링크,1007800000000,1.01조,일반서비스,KOSDAQ
291,003240.KS,태광산업,970900000000,9709억,화학,KOSPI
292,009450.KS,경동나비엔,957200000000,9572억,전기·전자,KOSPI
293,003090.KS,대웅,943900000000,9439억,제약,KOSPI
294,005300.KS,롯데칠성음료,942700000000,9427억,음식료·담배,KOSPI
295,192400.KS,쿠쿠홀딩스,940600000000,9406억,금융,KOSPI
296,032350.KS,롯데관광개발,936000000000,9360억,일반서비스,KOSPI
297,280360.KS,롯데웰푸드,931500000000,9315억,음식료·담배,KOSPI
298,458870.KQ,씨어스테크놀로지,925800000000,9258억,의료·정밀기기,KOSDAQ
299,077970.KS,STX엔진,925400000000,9254억,기계·장비,KOSPI
300,185750.KS,종근당,915100000000,9151억,제약,KOSPI
301,000210.KS,DL,910500000000,9105억,화학,KOSPI
302,003530.KS,한화투자증권,904300000000,9043억,증권,KOSPI
303,451800.KS,한화리츠,903400000000,9034억,리츠,KOSPI
304,009240.KS,한샘,900200000000,9002억,유통,KOSPI
305,034230.KS,파라다이스,890200000000,8902억,오락·문화,KOSPI
306,031330.KQ,에스에이엠티,888000000000,8880억,유통,KOSDAQ
307,101490.KQ,에스앤에스텍,880100000000,8801억,전기·전자,KOSDAQ
308,293490.KQ,카카오게임즈,862500000000,8625억,IT 서비스,KOSDAQ
309,006120.KS,SK디스커버리,858500000000,8585억,금융,KOSPI
310,065350.KQ,신성델타테크,849300000000,8493억,전기·전자,KOSDAQ
311,003470.KS,유안타증권,848800000000,8488억,증권,KOSPI
312,241710.KQ,코스메카코리아,845900000000,8459억,화학,KOSDAQ
313,204270.KQ,제이앤티씨,845200000000,8452억,전기·전자,KOSDAQ
314,085660.KQ,차바이오텍,843300000000,8433억,제약,KOSDAQ
315,347700.KQ,스피어,838700000000,8387억,IT 서비스,KOSDAQ
316,079160.KS,CJ CGV,832900000000,8329억,오락·문화,KOSPI
